Compound_Name,MOL_WEIGHT,IC50,Target Name,SMILES
BDBM26083,303.32,0.62,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)Nc1sc(C#Cc2ccccc2F)cc1C(N)=O
BDBM26085,299.36,0.716,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1ccccc1C#Cc1cc(C(N)=O)c(NC(N)=O)s1
BDBM26086,301.33,0.303,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)Nc1sc(C#Cc2cccc(O)c2)cc1C(N)=O
BDBM26087,249.29,0.273,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)Nc1sc(C#CC2CC2)cc1C(N)=O
BDBM26088,300.34,0.709,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)Nc1sc(C#Cc2cccc(N)c2)cc1C(N)=O
BDBM26090,405.44,0.557,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)Nc1sc(C#Cc2cccc(NC(=O)c3cccnc3)c2)cc1C(N)=O
BDBM26092,404.45,0.704,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)Nc1sc(C#Cc2cccc(NC(=O)c3ccccc3)c2)cc1C(N)=O
BDBM26093,342.38,0.964,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(=O)Nc1cccc(C#Cc2cc(C(N)=O)c(NC(N)=O)s2)c1
BDBM26094,396.35,0.98,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)Nc1sc(C#Cc2cccc(NC(=O)C(F)(F)F)c2)cc1C(N)=O
BDBM26097,378.44,0.454,Inhibitor of nuclear factor kappa-B kinase subunit beta,CS(=O)(=O)Nc1cccc(C#Cc2cc(C(N)=O)c(NC(N)=O)s2)c1
BDBM26198,309.34,0.3,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1
BDBM27465,439.51,0.63096,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1cc(-c2ccc(F)cc2)cc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)c1N
BDBM27477,445.52,0.15849,Inhibitor of nuclear factor kappa-B kinase subunit beta,CS(=O)(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1
BDBM27478,499.61,0.39811,Inhibitor of nuclear factor kappa-B kinase subunit beta,CS(=O)(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(=O)(=O)N4CCCC4)cc3)c2)cc1
BDBM27489,410.5,0.15849,Inhibitor of nuclear factor kappa-B kinase subunit beta,NCCNS(=O)(=O)c1ccc(-c2cc(-c3ccccc3)cc(C(N)=O)c2N)cc1
BDBM28547,265.37,0.028,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(SC)nc2c2c1ncn2C
BDBM28548,297.37,0.081,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(S(C)(=O)=O)nc2c2c1ncn2C
BDBM28551,278.34,0.3,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(NCCO)nc2c2c1ncn2C
BDBM28552,300.39,0.033,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(N3CC=CCC3)nc2c2c1ncn2C
BDBM28553,302.41,0.21,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(N3CCCCC3)nc2c2c1ncn2C
BDBM28554,316.43,0.13,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(N3CCCCCC3)nc2c2c1ncn2C
BDBM28555,276.33,0.015,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNC(=O)c1nc2c(nc(NC)c3ncn(C)c32)s1
BDBM28557,330.42,0.16,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(C(=O)NC3CCCC3)nc2c2c1ncn2C
BDBM28559,358.45,0.015,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(C(=O)NCc3cccs3)nc2c2c1ncn2C
BDBM28562,299.33,0.18,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cn1cnc2c(N)nc3sc(-c4ccc(F)cc4)nc3c21
BDBM28563,384.44,0.03311,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(=O)NCCNc1nc2sc(-c3ccc(F)cc3)nc2c2c1ncn2C
BDBM28564,386.46,0.075,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cn1cnc2c(NCCNCCO)nc3sc(-c4ccc(F)cc4)nc3c21
BDBM28565,410.52,0.056,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cn1cnc2c(NCCN3CCCCC3)nc3sc(-c4ccc(F)cc4)nc3c21
BDBM28566,384.44,0.053,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(-c3ccc(F)c(CNC(C)=O)c3)nc2c2c1ncn2C
BDBM28569,402.51,0.005012,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(-c3cccc(CNS(C)(=O)=O)c3)nc2c2c1ncn2C
BDBM28570,419.47,0.025,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(-c3cccc(CNC(=O)c4ccno4)c3)nc2c2c1ncn2C
BDBM28571,436.53,0.016,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2sc(-c3cccc(CNC(=O)c4csnn4)c3)nc2c2c1ncn2C
BDBM29407,383.47,0.1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NS(=O)(=O)c1ccc(-c2cc3ccncc3cc2OC2CCNCC2)cc1
BDBM29408,397.5,0.39811,Inhibitor of nuclear factor kappa-B kinase subunit beta,NS(=O)(=O)Cc1ccc(-c2cc3ccncc3cc2OC2CCNCC2)cc1
BDBM29409,333.44,0.79433,Inhibitor of nuclear factor kappa-B kinase subunit beta,NCc1cccc(-c2cc3ccncc3cc2OC2CCNCC2)c1
BDBM29410,333.44,0.12589,Inhibitor of nuclear factor kappa-B kinase subunit beta,NCc1ccc(-c2cc3ccncc3cc2OC2CCNCC2)cc1
BDBM29411,304.39,0.1,Inhibitor of nuclear factor kappa-B kinase subunit beta,c1ccc(-c2cc3ccncc3cc2OC2CCNCC2)cc1
BDBM29412,307.19,0.39811,Inhibitor of nuclear factor kappa-B kinase subunit beta,Brc1cc2ccncc2cc1OC1CCNCC1
BDBM29418,475.59,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCS(=O)(=O)N1CCC(Oc2cc3cnccc3cc2-c2ccc(S(N)(=O)=O)cc2)CC1
BDBM29421,318.42,0.15849,Inhibitor of nuclear factor kappa-B kinase subunit beta,c1ccc(-c2cc3ccncc3cc2OCC2CCCNC2)cc1
BDBM29422,383.47,0.79433,Inhibitor of nuclear factor kappa-B kinase subunit beta,NS(=O)(=O)c1ccc(-c2cc3ccncc3cc2OC2CCCNC2)cc1
BDBM29423,397.5,0.15849,Inhibitor of nuclear factor kappa-B kinase subunit beta,NS(=O)(=O)c1ccc(-c2cc3ccncc3cc2OCC2CCCNC2)cc1
BDBM29425,397.5,0.63096,Inhibitor of nuclear factor kappa-B kinase subunit beta,NS(=O)(=O)c1ccc(-c2cc3ccncc3cc2OCC2CCNCC2)cc1
BDBM29509,342.347,0.497,RAC-alpha serine/threonine-protein kinase,CCC[C@H]1O[C@@H]2CC(=O)O[C@@H]2C2=C1C(=O)c1c(OC)cccc1C2=O
BDBM29511,273.524125,0.044,RAC-alpha serine/threonine-protein kinase,O=C1C[C@H]2OCC3=C(C(=O)c4ccccc4C3=O)[C@H]2O1
BDBM29512,352.367,0.057,RAC-alpha serine/threonine-protein kinase,O=C1C[C@H]2O[C@H](c3cccs3)C3=C(C(=O)c4ccccc4C3=O)[C@H]2O1
BDBM29513,390.391,0.072,RAC-alpha serine/threonine-protein kinase,O=C1C[C@H]2O[C@H](COCc3ccccc3)C3=C(C(=O)c4ccccc4C3=O)[C@H]2O1
BDBM29514,362.337,0.08,RAC-alpha serine/threonine-protein kinase,O=C1C[C@H]2O[C@@H](c3ccc(O)cc3)C3=C(C(=O)c4ccccc4C3=O)[C@H]2O1
BDBM29518,312.321,0.163,RAC-alpha serine/threonine-protein kinase,CCC[C@H]1O[C@@H]2CC(=O)O[C@@H]2C2=C1C(=O)c1ccccc1C2=O
BDBM29519,324.332,0.295,RAC-alpha serine/threonine-protein kinase,O=C1C[C@H]2OC3(CCCC3)C3=C(C(=O)c4ccccc4C3=O)[C@H]2O1
BDBM29520,362.337,0.35,RAC-alpha serine/threonine-protein kinase,O=C1C[C@H]2O[C@@H](c3cccc(O)c3)C3=C(C(=O)c4ccccc4C3=O)[C@H]2O1
BDBM29521,312.321,0.383,RAC-alpha serine/threonine-protein kinase,CCC[C@@H]1O[C@@H]2CC(=O)O[C@@H]2C2=C1C(=O)c1ccccc1C2=O
BDBM29522,361.353,0.85,RAC-alpha serine/threonine-protein kinase,Nc1ccc([C@@H]2O[C@@H]3CC(=O)O[C@@H]3C3=C2C(=O)c2ccccc2C3=O)cc1
BDBM35137,400.53,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCC[C@@H](N)C2)ccc2[nH]ccc12
BDBM50095952,379.399,1,RAC-alpha serine/threonine-protein kinase,N#Cc1ccc(N2CC[C@@H](Nc3c(C(N)=O)cnc4[nH]ccc34)[C@@H](F)C2)nc1
BDBM50117500,493.612,1,RAC-alpha serine/threonine-protein kinase,Cc1[nH]c2ncnc(N3CCC(CN(C)C)(C(=O)Nc4cccc(OC(=O)N(C)C)c4)CC3)c2c1C
BDBM50117501,464.57,1,RAC-alpha serine/threonine-protein kinase,COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(c3ncnc4[nH]c(C)c(C)c34)CC2)c1
BDBM50124307,441.54,0.5,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(-c2ccccc2C(=O)NCCN2CCCCC2)cc(-c2ccccc2O)nc1N
BDBM50124308,441.54,0.6,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(-c2cccc(NC(=O)CCN3CCCCC3)c2)cc(-c2ccccc2O)nc1N
BDBM50124316,441.54,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(-c2ccc(NC(=O)CCN3CCCCC3)cc2)cc(-c2ccccc2O)nc1N
BDBM50124323,417.43,0.6,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(-c2cccc(NC(=O)C(N)CC(=O)O)c2)cc(-c2ccccc2O)nc1N
BDBM50124327,441.54,0.6,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(-c2ccc(C(=O)NCCN3CCCCC3)cc2)cc(-c2ccccc2O)nc1N
BDBM50124335,417.43,0.6,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(-c2cccc(NC(=O)CC(N)C(=O)O)c2)cc(-c2ccccc2O)nc1N
BDBM50126732,484.431,1,RAC-alpha serine/threonine-protein kinase,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C
BDBM50130248,322.75,0.15,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=C(Nc1cc(Cl)cc2c1[nH]c1cnccc12)c1cccnc1
BDBM50137196,227.29,0.97,Inhibitor of nuclear factor kappa-B kinase subunit beta,Nc1ncnc2cc(-c3ccccc3)sc12
BDBM50138381,473.58,0.031,Inhibitor of nuclear factor kappa-B kinase subunit beta,CS(=O)(=O)c1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1
BDBM50138384,488.6,0.043,Inhibitor of nuclear factor kappa-B kinase subunit beta,CS(=O)(=O)Nc1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1
BDBM50138385,457.58,0.091,Inhibitor of nuclear factor kappa-B kinase subunit beta,C[S+]([O-])c1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1
BDBM50138389,463.49,0.513,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S(=O)(c1ccc(-c2ccnc(Nc3ccc(C(F)(F)F)cc3)n2)cc1)N1CCNCC1
BDBM50138392,431.47,0.117,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S(=O)(c1ccc(-c2ccnc(Nc3ccc(F)c(F)c3)n2)cc1)N1CCNCC1
BDBM50138393,440.49,0.066,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=[N+]([O-])c1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1
BDBM50138395,395.49,0.091,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=S(=O)(c1ccc(-c2ccnc(Nc3ccccc3)n2)cc1)N1CCNCC1
BDBM50138396,420.5,0.083,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1cccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)c1
BDBM50138397,453.53,0.155,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)Nc1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1
BDBM50138399,425.51,0.214,Inhibitor of nuclear factor kappa-B kinase subunit beta,COc1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1
BDBM50138400,420.5,0.044,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1ccc(Nc2nccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)n2)cc1
BDBM50149806,294.36,0.174,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCCNC2)cc(-c2ccccc2O)nc1N
BDBM50149807,308.38,0.23,Inhibitor of nuclear factor kappa-B kinase subunit beta,CN1CCCC(c2cc(-c3ccccc3O)nc(N)c2C#N)C1
BDBM50149808,336.4,0.33,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(=O)Nc1nc(-c2ccccc2O)cc(C2CCCNC2)c1C#N
BDBM50149809,254.29,0.15,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(N)c1cc(-c2ccccc2O)nc(N)c1C#N
BDBM50149810,294.36,0.3,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCNCC2)cc(-c2ccccc2O)nc1N
BDBM50149812,278.36,0.02,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCCNC2)cc(-c2ccccc2)nc1N
BDBM50149813,312.35,0.23,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(N)nc(-c2ccccc2O)c(F)c1C1CCCNC1
BDBM50149814,344.42,0.73,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C(N)CCc2ccccc2)cc(-c2ccccc2O)nc1N
BDBM50149817,294.36,0.53,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCCCN2)cc(-c2ccccc2O)nc1N
BDBM50149818,254.29,0.07,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(CCN)cc(-c2ccccc2O)nc1N
BDBM50149819,360.42,0.08,Inhibitor of nuclear factor kappa-B kinase subunit beta,COc1ccc(CC(N)c2cc(-c3ccccc3O)nc(N)c2C#N)cc1
BDBM50149820,330.39,0.11,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(CC(N)c2ccccc2)cc(-c2ccccc2O)nc1N
BDBM50149821,296.37,0.48,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCCCC(N)c1cc(-c2ccccc2O)nc(N)c1C#N
BDBM50149822,348.38,0.04,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C(N)Cc2ccc(F)cc2)cc(-c2ccccc2O)nc1N
BDBM50149823,268.32,0.47,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(N)Cc1cc(-c2ccccc2O)nc(N)c1C#N
BDBM50149824,282.35,0.24,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(C)C(N)c1cc(-c2ccccc2O)nc(N)c1C#N
BDBM50149825,364.45,0.0085,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCNCC2)cc(-c2c(O)cccc2OCC2CC2)nc1N
BDBM50149826,380.49,0.02,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCCCCOc1cccc(O)c1-c1cc(C2CCNCC2)c(C#N)c(N)n1
BDBM50149828,378.48,0.012,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCNCC2)cc(-c2c(O)cccc2OCC2CCC2)nc1N
BDBM50149829,310.36,0.27,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCNCC2)cc(-c2c(O)cccc2O)nc1N
BDBM50149830,408.55,0.05,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCCCCCCOc1cccc(O)c1-c1cc(C2CCNCC2)c(C#N)c(N)n1
BDBM50149831,408.55,0.014,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCCCCCCOc1cccc(O)c1-c1cc(C2CCCNC2)c(C#N)c(N)n1
BDBM50149832,352.44,0.005,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCCOc1cccc(O)c1-c1cc(C2CCCNC2)c(C#N)c(N)n1
BDBM50149833,366.47,0.005,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(C)COc1cccc(O)c1-c1cc(C2CCCNC2)c(C#N)c(N)n1
BDBM50149835,406.53,0.026,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCCNC2)cc(-c2c(O)cccc2OCC2CCCCC2)nc1N
BDBM50149836,324.38,0.034,Inhibitor of nuclear factor kappa-B kinase subunit beta,COc1cccc(O)c1-c1cc(C2CCCNC2)c(C#N)c(N)n1
BDBM50149837,366.47,0.01514,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(C)COc1cccc(O)c1-c1cc(C2CCNCC2)c(C#N)c(N)n1
BDBM50149838,380.49,0.006,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCCCCOc1cccc(O)c1-c1cc(C2CCCNC2)c(C#N)c(N)n1
BDBM50149839,378.48,0.004,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCCNC2)cc(-c2c(O)cccc2OCC2CCC2)nc1N
BDBM50149840,352.44,0.024,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCCOc1cccc(O)c1-c1cc(C2CCNCC2)c(C#N)c(N)n1
BDBM50149841,338.41,0.12,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCOc1cccc(O)c1-c1cc(C2CCNCC2)c(C#N)c(N)n1
BDBM50149842,310.36,0.01514,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCCNC2)cc(-c2c(O)cccc2O)nc1N
BDBM50149843,400.48,0.009,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCCNC2)cc(-c2c(O)cccc2OCc2ccccc2)nc1N
BDBM50149846,364.45,0.003,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCCNC2)cc(-c2c(O)cccc2OCC2CC2)nc1N
BDBM50149847,324.38,0.56,Inhibitor of nuclear factor kappa-B kinase subunit beta,COc1ccc(-c2cc(C3CCCNC3)c(C#N)c(N)n2)c(O)c1
BDBM50149848,400.48,0.11,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(C2CCNCC2)cc(-c2c(O)cccc2OCc2ccccc2)nc1N
BDBM50149850,366.47,0.01514,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCCCOc1cccc(O)c1-c1cc(C2CCNCC2)c(C#N)c(N)n1
BDBM50149851,352.44,0.081,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(C)Oc1cccc(O)c1-c1cc(C2CCCNC2)c(C#N)c(N)n1
BDBM50149852,338.41,0.014,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCOc1cccc(O)c1-c1cc(C2CCCNC2)c(C#N)c(N)n1
BDBM50161273,212.26,0.579,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2ccc(C)cc2n2ccnc12
BDBM50161326,291.15,0.324,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2ccc(C)cc2n2c(Br)cnc12
BDBM50161329,226.28,0.773,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNc1nc2ccc(C)cc2n2c(C)cnc12
BDBM50170281,463.376,0.36,RAC-alpha serine/threonine-protein kinase,Cn1ncc(Br)c1-c1csc(C(=O)NC2(c3ccc(F)cc3)CCNCC2)c1
BDBM50170282,418.925,0.32,RAC-alpha serine/threonine-protein kinase,Cn1ncc(Cl)c1-c1csc(C(=O)NC2(c3ccc(F)cc3)CCNCC2)c1
BDBM50170283,384.48,0.92,RAC-alpha serine/threonine-protein kinase,Cn1nccc1-c1csc(C(=O)NC2(c3ccc(F)cc3)CCNCC2)c1
BDBM50170421,535.69,0.85,RAC-alpha serine/threonine-protein kinase,Cn1ncc(Cl)c1-c1c(Cl)c(C(=O)NC2(c3ccc(Cl)c(Cl)c3)CCNCC2)n(C)c1Cl
BDBM50170430,488.202,0.061,RAC-alpha serine/threonine-protein kinase,Cn1ncc(Cl)c1-c1cc(C(=O)NC2(c3ccc(Cl)c(Cl)c3)CCNCC2)oc1Cl
BDBM50170432,437.302,0.39,RAC-alpha serine/threonine-protein kinase,Cn1ncc(Cl)c1-c1cc(C(=O)NC2(c3ccc(F)cc3)CCNCC2)oc1Cl
BDBM50170436,498.208,0.44,RAC-alpha serine/threonine-protein kinase,Cn1ncc(Br)c1-c1coc(C(=O)NC2(c3ccc(Cl)c(Cl)c3)CCNCC2)c1
BDBM50170442,402.857,0.92,RAC-alpha serine/threonine-protein kinase,Cn1ncc(Cl)c1-c1coc(C(=O)NC2(c3ccc(F)cc3)CCNCC2)c1
BDBM50170444,435.38,0.071,RAC-alpha serine/threonine-protein kinase,Cn1nccc1-c1csc(C(=O)NC2(c3ccc(Cl)c(Cl)c3)CCNCC2)c1
BDBM50175688,483.64,0.04,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=C(c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1)N1CCC(N2CCCC2)CC1
BDBM50175689,457.6,0.04,Inhibitor of nuclear factor kappa-B kinase subunit beta,CN(C)C1CCN(C(=O)c2ccc(Nc3nccc(-c4cc5ccccc5s4)n3)cc2)CC1
BDBM50175693,443.58,0.4,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=C(NCCN1CCCC1)c1ccc(Nc2nccc(-c3cc4ccccc4s3)n2)cc1
BDBM50175702,347.4,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=C(O)c1cccc(Nc2nccc(-c3cc4ccccc4s3)n2)c1
BDBM50188913,436.368,0.006,RAC-alpha serine/threonine-protein kinase,CNc1nccc(-c2ccc(C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl)s2)n1
BDBM50192071,403.442,1,RAC-alpha serine/threonine-protein kinase,C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2
BDBM50207211,433.49,0.097,Inhibitor of nuclear factor kappa-B kinase subunit beta,Nc1ccccc1Oc1ccc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1
BDBM50207213,371.38,0.034,Inhibitor of nuclear factor kappa-B kinase subunit beta,NS(=O)(=O)c1ccc(Nc2nccc(-c3ccccc3[N+](=O)[O-])n2)cc1
BDBM50207215,477.5,0.32,Inhibitor of nuclear factor kappa-B kinase subunit beta,CS(=O)(=O)Nc1ccc(Nc2nccc(-c3ccc(Oc4ccccc4[N+](=O)[O-])cc3)n2)cc1
BDBM50215761,462.438,0.024,RAC-alpha serine/threonine-protein kinase,CNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1
BDBM50215763,479.488,0.015,RAC-alpha serine/threonine-protein kinase,CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc(SC(F)(F)F)cc3)cnn2C)cn1
BDBM50215768,509.42,0.041,RAC-alpha serine/threonine-protein kinase,CNC(=O)Nc1ccc(CNc2c(C(=O)Nc3ccc4c(c3)OC(F)(F)C(F)(F)O4)cnn2C)cn1
BDBM50215770,476.465,0.081,RAC-alpha serine/threonine-protein kinase,CCNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1
BDBM50218700,549.631,0.88,RAC-alpha serine/threonine-protein kinase,COc1cc(-c2ccc3c(c2)Nc2ccc(CC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N
BDBM50230828,279.3,0.018,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O
BDBM50234990,498.562,0.608,RAC-alpha serine/threonine-protein kinase,CN(C)CCn1cc(-c2ccn3c(-c4ccc(C(N)=O)c(OCc5cccc(F)c5)c4)cnc3c2)cn1
BDBM50243215,541.659,0.016,RAC-alpha serine/threonine-protein kinase,O=C1NCCc2nc(-c3ccc(CN4CCC(c5nnc(-c6ccccn6)[nH]5)CC4)cc3)c(-c3ccccc3)cc21
BDBM50243217,540.631,0.023,RAC-alpha serine/threonine-protein kinase,O=c1[nH]ccc2nc(-c3ccc(CN4CCC(c5nnc(-c6ncccn6)[nH]5)CC4)cc3)c(-c3ccccc3)cc12
BDBM50243220,540.631,0.004,RAC-alpha serine/threonine-protein kinase,O=c1[nH]ccc2nc(-c3ccc(CN4CCC(c5nnc(-c6cnccn6)[nH]5)CC4)cc3)c(-c3ccccc3)cc12
BDBM50257010,424.53,0.04,Inhibitor of nuclear factor kappa-B kinase subunit beta,CN(CCOc1ccccc1-c1cc(C(N)=O)c(NC(N)=O)s1)Cc1ccccc1
BDBM50257012,311.35,0.316,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(N)nc(-c2cc(O)ccc2O)nc1C1CCCNC1
BDBM50257066,370.88,0.008,Inhibitor of nuclear factor kappa-B kinase subunit beta,C#C/N=C(\NCCCCCCOc1ccc(Cl)cc1)Nc1ccncc1
BDBM50265873,512.574,0.0025,RAC-alpha serine/threonine-protein kinase,COc1cc2c(cc1Nc1nc(Nc3cccc4c3C(=O)NC4)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2
BDBM50271973,493.656,0.23,RAC-alpha serine/threonine-protein kinase,C[C@@H]1CC(=O)Nc2ncnc(N3CCC(c4nc(C5CCOCC5)cn4CCN4CCCC4)CC3)c21
BDBM50271975,477.535,0.011,RAC-alpha serine/threonine-protein kinase,C[C@@H]1CC(=O)Nc2ncnc(N3CCC(c4nc(C(F)(F)F)cn4CCN4CCCC4)CC3)c21
BDBM50273542,410.46,0.65,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1
BDBM50278019,479.496,0.056,RAC-alpha serine/threonine-protein kinase,COC(=O)c1c(C)nc(NNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)nc1-c1ccccc1
BDBM50278030,493.523,0.738,RAC-alpha serine/threonine-protein kinase,COC(=O)c1c(C)nc(NNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)nc1-c1ccc(C)cc1
BDBM50278031,523.549,0.251,RAC-alpha serine/threonine-protein kinase,CCOC(=O)c1c(C)nc(NNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)nc1-c1cccc(OC)c1
